"name","essround","edition","cntry","proddate","idno","psu","samppoin","stratify","prob","trrtort","agea","gndr","hinctnta","eduyrs","rlgdnm","rlgblg","lrscale"
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1769,1002313,NA,"1       ",0.000486828663,2,55,2,3,10,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",177,1032003,NA,"11      ",0.000275177714,5,48,2,NA,15,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1770,1002313,NA,"1       ",0.001947314653,3,68,2,3,11,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1771,1002313,NA,"1       ",0.000973657327,3,33,2,6,14,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1772,1067015,NA,"7       ",0.000347708987,1,63,1,10,8,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1773,1067015,NA,"7       ",0.000347708987,3,53,2,6,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1774,1067015,NA,"7       ",0.000695417973,4,62,1,5,8,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1775,1067015,NA,"7       ",0.000695417973,1,36,1,8,12,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1776,1033003,NA,"7       ",0.000526204378,3,54,1,2,13,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1777,1060422,NA,"6       ",0.000526522821,2,55,2,4,19,3,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1778,1060422,NA,"6       ",0.000789785021,3,61,2,3,18,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1779,1033003,NA,"7       ",0.000789307357,3,87,2,4,NA,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",178,1032003,NA,"11      ",0.000343972143,NA,63,2,1,8,5,1,NA
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1780,1033003,NA,"7       ",0.000789307357,4,60,2,3,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1781,1033003,NA,"7       ",0.000789307357,3,64,1,5,16,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1782,1060335,NA,"2       ",0.000290316445,1,58,1,3,8,1,1,0
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1783,1033003,NA,"7       ",0.000315722943,3,53,1,4,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1784,1060933,NA,"6       ",0.000963942743,1,58,2,3,12,1,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1785,1005001,NA,"8       ",0.00060673971,1,64,2,10,18,5,1,4
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1786,1005001,NA,"8       ",0.00060673971,2,35,2,9,16,5,1,3
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1787,1063314,NA,"9       ",0.003078302589,3,81,2,2,NA,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1788,1063314,NA,"9       ",0.000615660518,4,56,2,3,11,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1789,1063314,NA,"9       ",0.001539151294,2,31,2,4,12,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",179,1052765,NA,"6       ",0.001191687457,4,77,2,4,0,5,1,NA
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1790,1063314,NA,"9       ",0.001026099837,NA,17,2,NA,11,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1791,1033003,NA,"7       ",0.000789307357,3,57,2,4,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1792,1063314,NA,"9       ",0.001539151294,4,41,1,4,14,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1793,1033003,NA,"7       ",0.000526204378,3,32,2,4,12,5,1,4
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1794,1033003,NA,"7       ",0.000526204378,3,25,2,5,14,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1795,1060422,NA,"6       ",0.000526522821,4,56,1,8,18,NA,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1796,1033003,NA,"7       ",0.000394653678,NA,58,1,5,12,5,1,4
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1797,1033003,NA,"7       ",0.000526204378,2,62,2,4,8,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1798,1033003,NA,"7       ",0.000394653678,2,58,2,3,12,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1799,1033003,NA,"7       ",0.000526204378,3,59,2,5,7,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",18,1046005,NA,"8       ",0.000474839298,4,23,2,NA,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",180,1032003,NA,"11      ",0.000458629065,NA,60,2,1,10,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1800,1033003,NA,"7       ",0.000315722943,2,24,2,3,15,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1801,1063314,NA,"9       ",0.001026099837,4,17,1,NA,10,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1802,1063314,NA,"9       ",0.001539151294,NA,NA,2,NA,9,5,1,NA
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1803,1063314,NA,"9       ",0.000513051458,3,20,2,NA,14,5,1,9
