"","cntry","idno","psu","stratify","prob","agea","gndr","mnrgtjb","wmcpwrk"
"1579","FR",623,122207,"2                             ",0.000135161447,62,1,3,3
"1580","FR",626,124138,"2                             ",6.7578119e-05,69,1,4,3
"1581","FR",627,124138,"2                             ",0.000135156238,28,2,1,1
"1582","FR",629,124138,"2                             ",6.7578119e-05,54,2,1,3
"1583","FR",632,124138,"2                             ",6.7578119e-05,82,2,1,2
"1584","FR",633,124138,"2                             ",6.7578119e-05,68,1,2,4
"1585","FR",634,124138,"2                             ",6.7578119e-05,51,2,5,4
"1586","FR",637,124138,"2                             ",0.000135156238,56,2,5,5
"1587","FR",639,124138,"2                             ",6.7578119e-05,61,2,5,2
"1588","FR",64,106004,"2                             ",6.7602578e-05,52,2,3,1
"1589","FR",644,125047,"2                             ",0.000135153789,44,1,3,3
"1590","FR",647,125047,"2                             ",3.3788447e-05,49,2,2,2
"1591","FR",648,125047,"2                             ",3.3788447e-05,21,1,3,2
"1592","FR",649,125047,"2                             ",6.7576894e-05,49,2,2,3
"1593","FR",650,125047,"2                             ",0.000135153789,73,1,3,2
"1594","FR",651,125047,"2                             ",0.000135153789,86,2,4,2
"1595","FR",654,125047,"2                             ",6.7576894e-05,24,1,1,3
"1596","FR",655,125047,"2                             ",4.5051264e-05,56,1,2,5
"1597","FR",656,125047,"2                             ",6.7576894e-05,77,1,2,1
"1598","FR",657,125047,"2                             ",6.7576894e-05,73,2,4,1
"1599","FR",658,125047,"2                             ",4.5051264e-05,44,1,5,4
"1600","FR",659,125047,"2                             ",6.7576894e-05,36,2,5,4
"1601","FR",66,106004,"2                             ",3.3801289e-05,47,2,4,2
"1602","FR",660,125047,"2                             ",6.7576894e-05,33,2,1,2
"1603","FR",665,125056,"2                             ",3.2661705e-05,47,2,3,3
"1604","FR",673,126307,"2                             ",6.4146576e-05,37,2,5,4
"1605","FR",677,126307,"2                             ",0.000128293151,79,1,4,2
"1606","FR",679,126307,"2                             ",6.4146576e-05,44,2,5,5
"1607","FR",68,106004,"2                             ",6.7602578e-05,38,1,3,2
"1608","FR",681,126307,"2                             ",0.000128293151,71,1,2,2
"1609","FR",683,126307,"2                             ",3.2073288e-05,56,2,5,5
"1610","FR",687,126307,"2                             ",4.2764385e-05,52,2,3,2
"1611","FR",692,126313,"2                             ",4.5050126e-05,54,1,5,2
"1612","FR",694,126313,"2                             ",2.7030075e-05,53,1,2,2
"1613","FR",70,106004,"2                             ",0.000135205156,75,1,2,4
"1614","FR",702,126313,"2                             ",6.7575187e-05,57,1,4,2
"1615","FR",704,126313,"2                             ",6.7575187e-05,28,1,5,3
"1616","FR",707,126313,"2                             ",4.5050126e-05,53,2,2,2
"1617","FR",708,126313,"2                             ",6.7575187e-05,35,2,2,1
"1618","FR",710,126362,"2                             ",0.00013515024,78,1,2,2
"1619","FR",711,126362,"2                             ",0.00013515024,80,2,3,4
"1620","FR",713,126362,"2                             ",4.5050081e-05,22,1,4,5
"1621","FR",72,106004,"2                             ",0.000135205156,89,2,3,1
"1622","FR",731,127170,"2                             ",0.00013514806,65,2,3,4
"1623","FR",738,127170,"2                             ",6.757403e-05,72,1,4,2
"1624","FR",739,127170,"2                             ",6.757403e-05,36,2,4,5
"1625","FR",743,127170,"2                             ",6.757403e-05,50,2,1,3
"1626","FR",746,127170,"2                             ",0.00013514806,38,2,4,2
"1627","FR",75,106004,"2                             ",6.7602578e-05,40,1,4,2
"1628","FR",751,127467,"2                             ",6.7573631e-05,69,1,3,2
"1629","FR",754,127467,"2                             ",6.7573631e-05,58,2,3,2
"1630","FR",755,127467,"2                             ",6.7573631e-05,43,1,4,4
"1631","FR",756,127467,"2                             ",0.000135147261,31,2,5,2
"1632","FR",757,127467,"2                             ",6.7573631e-05,50,1,4,3
"1633","FR",758,127467,"2                             ",4.5049088e-05,43,2,2,2
"1634","FR",760,127467,"2                             ",4.5049088e-05,55,1,5,5
"1635","FR",762,127467,"2                             ",6.7573631e-05,71,1,5,4
"1636","FR",765,127467,"2                             ",6.7573631e-05,38,2,4,3
"1637","FR",766,127681,"2                             ",4.5048898e-05,20,2,5,3
"1638","FR",768,127681,"2                             ",0.000135146691,67,2,3,1
"1639","FR",774,127681,"2                             ",0.000135146691,46,1,4,3
"1640","FR",776,127681,"2                             ",0.000135146691,51,2,5,5
"1641","FR",782,127681,"2                             ",0.000135146691,87,1,4,3
"1642","FR",783,127681,"2                             ",0.000135146691,26,2,1,1
"1643","FR",787,128015,"2                             ",6.7572894e-05,33,1,5,5
"1644","FR",788,128015,"2                             ",0.000135145788,50,1,4,4
"1645","FR",790,128015,"2                             ",6.7572894e-05,23,1,2,3
"1646","FR",791,128015,"2                             ",6.7572894e-05,56,1,1,2
"1647","FR",792,128015,"2                             ",6.7572894e-05,60,1,3,2
"1648","FR",797,128015,"2                             ",6.7572894e-05,35,2,5,1
"1649","FR",799,128015,"2                             ",4.5048597e-05,39,2,3,1
"1650","FR",801,128015,"2                             ",0.000135145788,72,1,2,5
"1651","FR",802,128015,"2                             ",0.000135145788,42,1,5,3
"1652","FR",803,128015,"2                             ",4.5048597e-05,44,2,5,3
"1653","FR",804,128218,"2                             ",4.5048414e-05,48,1,3,2
